rank,dataset,field,family,question,unique_values,score,top_values_json
49,260401_-OC-CAN,q51r1,demographic_profile,,89,44.2964,"[[""30"", 19, 16, 0.8421052631578947, 0.4585251824041935], [""200"", 10, 9, 0.9, 0.5164199192462988], [""25"", 24, 17, 0.7083333333333334, 0.32475325257963217], [""150"", 6, 6, 1.0, 0.6164199192462988], [""__MISSING__"", 362, 112, 0.30939226519337015, -0.07418781556033105], [""800"", 5, 5, 1.0, 0.6164199192462988]]"
50,260300_ECHO,q19_2026r17,brand_funnel_ad,,31,43.7146,"[[""__MISSING__"", 1023, 245, 0.23949169110459434, -0.1136372999554312], [""0"", 254, 137, 0.5393700787401575, 0.18624108768013198], [""10"", 80, 50, 0.625, 0.27187100893997446], [""8"", 7, 6, 0.8571428571428571, 0.5040138660828315], [""5"", 87, 43, 0.4942528735632184, 0.14112388250319285], [""20"", 17, 10, 0.5882352941176471, 0.23510630305762154]]"
51,251205_TFG-Contractor-Index-Q1,qc6LangAssessReadLevel,other,,292,43.1648,"[[""2.89"", 9, 3, 0.3333333333333333, 0.2228549734244495], [""2.31142857143"", 7, 2, 0.2857142857142857, 0.17523592580540187], [""6.41666666667"", 17, 0, 0.0, -0.11047835990888383], [""2.88"", 12, 0, 0.0, -0.11047835990888383], [""5.68285714286"", 12, 0, 0.0, -0.11047835990888383], [""2.48333333333"", 11, 0, 0.0, -0.11047835990888383]]"
52,260306_TFG-Contractor-Index-Q2,q43dr1,demographic_profile,,43,42.977,"[[""30"", 66, 48, 0.7272727272727273, 0.36738015789045336], [""20"", 175, 94, 0.5371428571428571, 0.17725028776058321], [""0"", 284, 63, 0.22183098591549297, -0.13806158346678096], [""15"", 75, 42, 0.56, 0.20010743061772612], [""50"", 36, 5, 0.1388888888888889, -0.22100368049338504], [""25"", 72, 16, 0.2222222222222222, -0.13767034716005172]]"
53,260300_ECHO,q11ar11c4,ownership_use_product,,2,42.6539,"[[""0"", 614, 343, 0.5586319218241043, 0.20550293076407872], [""1"", 952, 210, 0.22058823529411764, -0.1325407557659079]]"
54,260300_ECHO,q15r1,other,,66,42.5371,"[[""45"", 27, 22, 0.8148148148148148, 0.4616858237547892], [""55"", 36, 25, 0.6944444444444444, 0.3413154533844189], [""25"", 120, 25, 0.20833333333333334, -0.1447956577266922], [""65"", 38, 22, 0.5789473684210527, 0.2258183773610271], [""0"", 118, 27, 0.2288135593220339, -0.12431543173799164], [""20"", 60, 13, 0.21666666666666667, -0.13646232439335887]]"
55,260200_SBD,qcoe2r1,other,,128,42.5037,"[[""Milwaukee"", 145, 45, 0.3103448275862069, -0.13438198308723653], [""Bosch"", 17, 14, 0.8235294117647058, 0.3788026010912624], [""None"", 5, 5, 1.0, 0.5552731893265566], [""Dewalt"", 206, 78, 0.3786407766990291, -0.06608603397441432], [""Stanley"", 49, 28, 0.5714285714285714, 0.12670176075512796], [""makita"", 7, 1, 0.14285714285714285, -0.3018696678163006]]"
56,260200_SBD,fp_etag,other,Captured variable,169,42.3779,"[[""__MISSING__"", 619, 268, 0.43295638126009695, -0.011770429413346495]]"
57,260200_SBD,fp_html5,other,Captured variable,169,42.3779,"[[""__MISSING__"", 619, 268, 0.43295638126009695, -0.011770429413346495]]"
58,260206_OC-BH,q90r2,demographic_profile,,219,42.0157,"[[""Master Halco"", 11, 6, 0.5454545454545454, 0.3721643421273735], [""CertainTeed"", 12, 5, 0.4166666666666667, 0.24337646333949478], [""Trex"", 16, 6, 0.375, 0.2017097966728281], [""__MISSING__"", 1828, 291, 0.15919037199124728, -0.014099831335924629]]"
59,260200_SBD,qcoe2r2,other,,150,41.9149,"[[""__MISSING__"", 175, 108, 0.6171428571428571, 0.17241604646941366], [""Dewalt"", 77, 26, 0.33766233766233766, -0.10706447301110578], [""Milwaukee"", 142, 53, 0.3732394366197183, -0.07148737405372513], [""dewalt"", 14, 4, 0.2857142857142857, -0.15901252495915774], [""Makita"", 52, 19, 0.36538461538461536, -0.07934219528882808], [""Ryobi"", 34, 13, 0.38235294117647056, -0.06237386949697288]]"
60,260306_TFG-Contractor-Index-Q2,qc6LangAssessNumSyl,other,,47,41.788,"[[""8"", 60, 9, 0.15, -0.20989256938227394], [""22"", 30, 19, 0.6333333333333333, 0.2734407639510594], [""31"", 8, 7, 0.875, 0.5151074306177261], [""28"", 15, 11, 0.7333333333333333, 0.37344076395105935], [""20"", 41, 24, 0.5853658536585366, 0.22547328427626262], [""27"", 23, 15, 0.6521739130434783, 0.29228134366120434]]"
61,260306_TFG-Contractor-Index-Q2,q43dr5,demographic_profile,,46,41.2867,"[[""0"", 316, 56, 0.17721518987341772, -0.1826773795088562], [""30"", 56, 37, 0.6607142857142857, 0.30082171633201177], [""20"", 138, 76, 0.5507246376811594, 0.1908320682988855], [""10"", 167, 88, 0.5269461077844312, 0.16705353840215725], [""100"", 65, 11, 0.16923076923076924, -0.1906618001515047], [""80"", 17, 0, 0.0, -0.35989256938227393]]"
62,260404_ADDO,qcoe1LangAssessNumWords,other,,98,40.9883,"[[""1"", 121, 63, 0.5206611570247934, 0.25664935761476393], [""2"", 37, 21, 0.5675675675675675, 0.30355576815753804], [""5"", 64, 30, 0.46875, 0.2047382005899705], [""4"", 48, 22, 0.4583333333333333, 0.1943215339233038], [""3"", 47, 21, 0.44680851063829785, 0.18279671122826835], [""18"", 26, 1, 0.038461538461538464, -0.22555026094849104]]"
63,260300_ECHO,q18r14,brand_funnel_ad,,6,40.7133,"[[""5"", 175, 108, 0.6171428571428571, 0.26401386608283156], [""1"", 810, 190, 0.2345679012345679, -0.11856108982545766], [""6"", 87, 61, 0.7011494252873564, 0.3480204342273308], [""4"", 158, 84, 0.5316455696202531, 0.17851657856022757], [""2"", 262, 77, 0.29389312977099236, -0.05923586128903319], [""3"", 74, 33, 0.44594594594594594, 0.0928169548859204]]"
64,260300_ECHO,q19_2026r4,brand_funnel_ad,,40,40.4134,"[[""__MISSING__"", 902, 223, 0.24722838137472283, -0.10590060968530271], [""5"", 87, 50, 0.5747126436781609, 0.22158365261813534], [""0"", 230, 109, 0.47391304347826085, 0.12078405241823531], [""10"", 116, 59, 0.5086206896551724, 0.15549169859514683], [""6"", 8, 7, 0.875, 0.5218710089399745], [""35"", 12, 9, 0.75, 0.39687100893997446]]"
65,260401_-OC-CAN,q43,demographic_profile,How often do clients ask for specific brands of hardscape products?,6,39.6725,"[[""4"", 123, 92, 0.7479674796747967, 0.3643873989210955], [""5"", 42, 37, 0.8809523809523809, 0.49737230019867973], [""2"", 78, 8, 0.10256410256410256, -0.28101597818959867], [""1"", 31, 0, 0.0, -0.3835800807537012], [""__MISSING__"", 362, 112, 0.30939226519337015, -0.07418781556033105], [""3"", 107, 36, 0.3364485981308411, -0.0471314826228601]]"
