rank,field,family,question,unique_values,score,max_abs_lift,top_values_json
57,q44,demographic_profile,What is your home worth today?,11,23.7856,0.2509,"[[""__MISSING__"", 250, 151, 0.604, 0.25087100893997444], [""1"", 139, 30, 0.2158273381294964, -0.13730165293052915], [""3"", 243, 61, 0.25102880658436216, -0.10210018447566338], [""2"", 201, 56, 0.27860696517412936, -0.07452202588589618], [""10"", 9, 1, 0.1111111111111111, -0.24201787994891444]]"
58,q40_2026,demographic_profile,What is your current employment status?,7,23.4014,0.3531,"[[""__MISSING__"", 250, 151, 0.604, 0.25087100893997444], [""3"", 132, 22, 0.16666666666666666, -0.18646232439335889], [""6"", 13, 0, 0.0, -0.35312899106002554], [""4"", 35, 8, 0.22857142857142856, -0.12455756248859698], [""1"", 1020, 337, 0.3303921568627451, -0.022736834197280453]]"
59,q13b,equipment_ownership_use,Which of the following best describes the size of the yard at your home?,6,23.2516,0.2509,"[[""__MISSING__"", 250, 151, 0.604, 0.25087100893997444], [""4"", 288, 72, 0.25, -0.10312899106002554], [""1"", 201, 52, 0.25870646766169153, -0.09442252339833401], [""2"", 460, 134, 0.29130434782608694, -0.0618246432339386], [""3"", 351, 140, 0.39886039886039887, 0.045731407800373325]]"
60,q11ar8c4,equipment_ownership_use,,2,22.9978,0.1548,"[[""1"", 595, 118, 0.19831932773109243, -0.15480966332893312], [""0"", 971, 435, 0.44799176107106076, 0.09486277001103521]]"
61,q11ar2c4,equipment_ownership_use,,2,22.8598,0.1459,"[[""1"", 637, 132, 0.20722135007849293, -0.1459076409815326], [""0"", 929, 421, 0.45317545748116256, 0.10004646642113701]]"
62,qager1,other,,54,22.8529,0.3531,"[[""40"", 93, 48, 0.5161290322580645, 0.16300004119803896], [""37"", 43, 25, 0.5813953488372093, 0.2282663577771838], [""73"", 14, 0, 0.0, -0.35312899106002554], [""36"", 44, 24, 0.5454545454545454, 0.19232555439451987], [""28"", 25, 15, 0.6, 0.24687100893997443]]"
63,q19r17,other,,3,22.6256,0.4353,"[[""1"", 52, 41, 0.7884615384615384, 0.4353325474015129], [""0"", 237, 130, 0.5485232067510548, 0.19539421569102927], [""__MISSING__"", 1277, 382, 0.29913860610806575, -0.05399038495195979]]"
64,q19_2026r10,brand_funnel,,38,22.5295,0.3741,"[[""__MISSING__"", 551, 133, 0.2413793103448276, -0.11174968071519795], [""0"", 326, 145, 0.4447852760736196, 0.09165628501359407], [""2"", 11, 8, 0.7272727272727273, 0.37414373621270175], [""8"", 10, 7, 0.7, 0.3468710089399744], [""3"", 12, 8, 0.6666666666666666, 0.3135376756066411]]"
65,q38_2026,demographic_profile,What is the highest level of education you have completed?,7,22.4277,0.2509,"[[""__MISSING__"", 250, 151, 0.604, 0.25087100893997444], [""2"", 205, 48, 0.23414634146341465, -0.1189826495966109], [""4"", 202, 52, 0.25742574257425743, -0.09570324848576811], [""5"", 522, 161, 0.30842911877394635, -0.04469987228607919], [""3"", 45, 11, 0.24444444444444444, -0.1086845466155811]]"
66,SUPNAME,fielding_technical,Captured variable,33,22.2621,0.3531,"[[""__MISSING__"", 548, 248, 0.45255474452554745, 0.0994257534655219], [""MakeOpinionGmbH-API"", 133, 28, 0.21052631578947367, -0.14260267527055187], [""TapResearch"", 37, 6, 0.16216216216216217, -0.19096682889786337], [""Rewardia.com.au-API"", 9, 0, 0.0, -0.35312899106002554], [""PrimeInsightsGroupLLC-API"", 386, 119, 0.3082901554404145, -0.04483883561961105]]"
